City,Country,Latitude,Longitude,Date/Time,Temperature (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
Kanniyakumari,IN,8.08,77.57,Sun Mar 31 11:22:54 2019,85.3,97,11.77,0
Zlobin,HR,45.29,14.65,Sun Mar 31 11:22:52 2019,58.77,47,4.7,0
Vardo,US,39.62,-77.74,Sun Mar 31 11:23:13 2019,49.59,43,20.8,20
Sheboygan,US,43.75,-87.71,Sun Mar 31 11:20:08 2019,32.7,37,17.22,20
Saint-Francois,FR,46.42,3.91,Sun Mar 31 11:16:27 2019,65.71,34,8.05,0
Boende,CD,-0.28,20.88,Sun Mar 31 11:23:19 2019,83.5,73,2.93,24
Warsaw,PL,52.23,21.01,Sun Mar 31 11:21:59 2019,50.95,57,13.87,20
Gorontalo,ID,0.54,123.06,Sun Mar 31 11:23:02 2019,72.52,97,1.92,80
Tautira,PF,-17.73,-149.15,Sun Mar 31 11:22:22 2019,80.26,78,3.36,20
Goderich,CA,43.74,-81.71,Sun Mar 31 11:18:58 2019,26.26,92,5.01,80
Dymytrove,UA,48.26,37.05,Sun Mar 31 11:23:20 2019,45.61,69,2.71,0
Bima,ID,-8.45,118.73,Sun Mar 31 11:23:21 2019,74.05,100,2.26,80
Strezhevoy,RU,60.73,77.6,Sun Mar 31 10:30:00 2019,32.0,87,11.18,75
Tilichiki,RU,60.47,166.1,Sun Mar 31 11:23:21 2019,31.84,89,10.2,88
Magan,RU,62.1,129.53,Sun Mar 31 10:30:00 2019,1.4,77,6.71,0
Csakvar,HU,47.39,18.46,Sun Mar 31 11:21:22 2019,62.8,29,11.41,0
Zonguldak,TR,41.25,31.83,Sun Mar 31 11:24:22 2019,41.29,93,5.73,8
Beidao,CN,34.57,105.89,Sun Mar 31 11:24:22 2019,40.39,55,4.94,32
Greensboro,US,36.07,-79.79,Sun Mar 31 11:22:29 2019,58.19,44,17.22,75
Zhumadian,CN,33.01,114.02,Sun Mar 31 11:24:23 2019,43.18,56,6.4,0
Lata,IN,30.78,78.62,Sun Mar 31 11:24:23 2019,45.07,56,2.59,0
Valparaiso,US,41.47,-87.06,Sun Mar 31 11:20:59 2019,32.07,54,20.8,40
Machinga,MW,-15.18,35.3,Sun Mar 31 11:24:24 2019,72.7,64,3.49,12
Gizo,IL,31.8,34.94,Sun Mar 31 11:23:18 2019,55.26,76,8.05,75
Lebedinyy,RU,58.52,125.52,Sun Mar 31 11:24:24 2019,15.73,79,2.37,80
Gravelbourg,CA,49.88,-106.56,Sun Mar 31 11:24:25 2019,35.8,59,6.51,24
Formosa,AR,-26.19,-58.17,Sun Mar 31 10:00:00 2019,78.8,78,7.63,90
Keelung,TW,25.13,121.74,Sun Mar 31 11:23:29 2019,62.78,87,17.22,75
Amapa,HN,15.09,-87.97,Sun Mar 31 11:20:52 2019,88.32,48,8.05,20
Samfya,ZM,-11.37,29.56,Sun Mar 31 11:24:26 2019,76.39,54,8.97,44
Makakilo City,US,21.35,-158.09,Sun Mar 31 11:23:47 2019,66.52,88,4.7,1
Serebryansk,KZ,49.68,83.3,Sun Mar 31 11:24:26 2019,37.87,96,2.15,88
Santiago del Estero,AR,-27.8,-64.26,Sun Mar 31 11:24:26 2019,76.48,99,2.93,80
Moroni,US,39.52,-111.59,Sun Mar 31 11:24:08 2019,44.56,49,2.93,0
Ekhabi,RU,53.51,142.97,Sun Mar 31 11:24:27 2019,9.43,76,10.2,76
Meadow Lake,CA,54.13,-108.44,Sun Mar 31 10:00:00 2019,28.4,68,5.82,75
Ejea de los Caballeros,ES,42.13,-1.14,Sun Mar 31 11:20:16 2019,53.44,50,10.29,100
Galle,US,29.74,-97.91,Sun Mar 31 11:24:22 2019,47.61,49,14.99,20
Norrtalje,SE,59.76,18.7,Sun Mar 31 11:23:36 2019,41.45,30,13.87,0
Lillooet,CA,50.69,-121.94,Sun Mar 31 11:00:00 2019,42.12,65,4.7,1
Salcia,MD,46.94,29.17,Sun Mar 31 11:15:10 2019,59.74,36,2.24,0
Tendo,JP,38.35,140.4,Sun Mar 31 11:01:45 2019,36.0,79,2.48,64
Lewistown,US,40.39,-90.15,Sun Mar 31 11:24:24 2019,36.1,47,9.17,1
Eureka,US,40.8,-124.16,Sun Mar 31 11:22:06 2019,51.31,87,5.82,90
La Union,GT,14.97,-89.29,Sun Mar 31 11:24:30 2019,84.76,42,2.37,0
Carnduff,CA,49.17,-101.8,Sun Mar 31 11:17:21 2019,37.0,66,17.0,0
Ust-Maya,RU,60.42,134.54,Sun Mar 31 11:24:31 2019,3.22,63,3.49,0
Zyryanovsk,KZ,49.74,84.27,Sun Mar 31 11:24:31 2019,34.63,92,1.92,88
Luba,PH,17.32,120.7,Sun Mar 31 11:24:31 2019,71.35,90,3.15,64
Aneby,SE,57.84,14.81,Sun Mar 31 11:20:05 2019,37.42,32,6.93,0
Matadi,CD,-5.83,13.46,Sun Mar 31 11:24:32 2019,82.33,81,3.27,64
Muisne,EC,0.61,-80.02,Sun Mar 31 10:00:00 2019,75.2,100,8.05,90
Chiredzi,ZW,-21.05,31.67,Sun Mar 31 11:24:33 2019,77.02,70,6.4,0
Conceicao do Araguaia,BR,-8.26,-49.26,Sun Mar 31 11:24:33 2019,83.5,99,5.95,12
Bonavista,CA,48.65,-53.11,Sun Mar 31 11:16:31 2019,37.99,86,1.99,8
Gunjur,GM,13.18,-16.76,Sun Mar 31 11:00:00 2019,82.4,51,13.87,0
Palmer,US,61.6,-149.11,Sun Mar 31 11:20:05 2019,30.78,80,4.7,75
Villa Carlos Paz,AR,-31.42,-64.5,Sun Mar 31 11:01:17 2019,73.76,88,12.75,75
Canon City,US,39.46,-117.13,Sun Mar 31 11:24:34 2019,45.79,25,3.6,0
Cafarnaum,BR,-11.69,-41.47,Sun Mar 31 11:24:35 2019,83.86,56,11.21,44
Manta,RO,45.1,24.1,Sun Mar 31 11:24:35 2019,48.31,73,3.71,0
Pisco,PE,-13.71,-76.2,Sun Mar 31 10:00:00 2019,71.6,30,19.46,0
Kakonko,TZ,-3.28,30.97,Sun Mar 31 11:24:36 2019,66.13,89,6.17,24
Los Llanos de Aridane,ES,28.66,-17.92,Sun Mar 31 11:21:08 2019,64.78,60,6.93,75
Novikovo,UA,45.05,34.56,Sun Mar 31 11:24:36 2019,41.83,89,6.17,0
Northam,GB,51.04,-4.21,Sun Mar 31 11:22:08 2019,52.77,81,10.29,75
Grand Baie,MU,-20.02,57.58,Sun Mar 31 11:19:02 2019,78.76,78,4.7,20
Walvis Bay,NA,-22.95,14.51,Sun Mar 31 11:02:07 2019,81.7,28,18.34,0
Wageningen,NL,51.98,5.66,Sun Mar 31 11:24:37 2019,51.49,50,13.87,0
Katsina,NG,12.99,7.6,Sun Mar 31 11:24:38 2019,92.23,16,8.19,8
Peachland,CA,49.77,-119.75,Sun Mar 31 11:24:01 2019,47.17,56,3.36,20
Ambanja,MG,-13.68,48.45,Sun Mar 31 11:24:38 2019,70.81,95,2.15,24
Vestmannaeyjar,IS,63.44,-20.27,Sun Mar 31 11:00:00 2019,39.2,93,19.46,90
Immokalee,US,26.42,-81.42,Sun Mar 31 11:24:30 2019,80.56,42,6.93,90
Souillac,FR,45.6,-0.6,Sun Mar 31 11:20:53 2019,68.95,28,11.41,0
Turayf,SA,31.68,38.65,Sun Mar 31 11:00:00 2019,51.8,81,10.29,90
Cuencame,MX,24.87,-103.7,Sun Mar 31 11:23:29 2019,67.12,40,8.63,12
Sovetskiy,RU,56.76,48.47,Sun Mar 31 11:25:40 2019,35.53,87,16.69,48
Serenje,ZM,-13.23,30.22,Sun Mar 31 11:25:40 2019,70.9,50,9.42,0
Sisimiut,GL,66.94,-53.67,Sun Mar 31 11:25:40 2019,17.35,94,3.71,64
Fuling,CN,29.71,107.39,Sun Mar 31 11:25:41 2019,54.07,95,2.71,92
Laives,FR,46.65,4.85,Sun Mar 31 11:21:33 2019,65.8,36,14.99,0
Camara de Lobos,PT,32.63,-16.97,Sun Mar 31 11:23:05 2019,62.46,59,3.36,20
Manyana,AU,-35.26,150.51,Sun Mar 31 11:17:50 2019,51.28,71,10.29,68
Kaeo,NZ,-35.1,173.78,Sun Mar 31 11:08:09 2019,66.99,96,15.68,100
Lusambo,CD,-4.97,23.44,Sun Mar 31 11:25:42 2019,80.89,75,2.59,8
Mindif,CM,10.4,14.44,Sun Mar 31 11:25:42 2019,88.63,23,6.17,0
Pandan,PH,11.72,122.09,Sun Mar 31 11:25:43 2019,80.08,99,18.25,0
Ashland,US,38.48,-82.64,Sun Mar 31 11:24:00 2019,40.55,60,10.29,75
Newnan,US,33.38,-84.8,Sun Mar 31 11:25:05 2019,48.33,61,11.41,40
Lasa,CY,34.92,32.53,Sun Mar 31 11:18:45 2019,54.59,82,1.12,75
Alekseyevsk,RU,57.84,108.35,Sun Mar 31 11:25:44 2019,17.17,75,3.49,44
Dingle,PH,11.0,122.67,Sun Mar 31 11:25:45 2019,75.76,74,11.88,0
Den Helder,NL,52.96,4.76,Sun Mar 31 11:25:15 2019,47.59,65,19.46,20
Marsa Matruh,EG,31.35,27.25,Sun Mar 31 10:00:00 2019,59.0,54,13.87,75
Tyrma,RU,50.04,132.17,Sun Mar 31 11:25:45 2019,2.95,53,2.15,0
Starovelichkovskaya,RU,45.43,38.72,Sun Mar 31 11:20:44 2019,50.74,42,8.95,0
Puerto Carreno,CO,6.19,-67.49,Sun Mar 31 10:00:00 2019,87.8,74,4.7,75
Port Hueneme,US,34.15,-119.2,Sun Mar 31 11:25:41 2019,73.62,23,14.99,20
Nara,JP,34.68,135.8,Sun Mar 31 11:23:26 2019,42.93,65,17.22,20
Sitangkai,PH,4.66,119.39,Sun Mar 31 11:25:47 2019,81.7,100,7.96,12
Amberley,NZ,-43.15,172.73,Sun Mar 31 11:25:15 2019,62.19,88,14.99,92
